Age Range,Outcome,Gender,Datetime,Removal of more than outer clothing,Officer Defined Ethnicity,Object of Search,Latitude,Location,Longitude
10-17,Arrest,Male,2022-09-11T12:26:00+00:00,False,Black,Controlled drugs,51.531682,St  Pancras International (Station),-0.125653
25-34,Arrest,Male,2022-09-11T14:00:00+00:00,False,White,Offensive weapons,51.528665,Euston (Station),-0.132849
,A no further action disposal,Male,2022-09-11T14:43:00+00:00,False,Black,Controlled drugs,51.503379,Waterloo (Lu Station),-0.112212
25-34,Summons / charged by post,Female,2022-09-11T17:27:00+00:00,False,White,Controlled drugs,51.515776,Paddington (Lu Station),-0.174871
18-24,A no further action disposal,Male,2022-09-11T17:53:00+00:00,False,White,Controlled drugs,51.515776,Paddington (Lu Station),-0.174871
25-34,A no further action disposal,Male,2022-09-12T00:05:00+00:00,False,White,Controlled drugs,51.532382,Kings Cross (Station),-0.123297
,A no further action disposal,Male,2022-09-12T00:06:00+00:00,False,White,Controlled drugs,51.532382,Kings Cross (Station),-0.123297
,A no further action disposal,Male,2022-09-12T00:06:00+00:00,False,White,Controlled drugs,51.532382,Kings Cross (Station),-0.123297
18-24,A no further action disposal,Male,2022-09-12T09:20:00+00:00,False,White,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
25-34,A no further action disposal,Male,2022-09-12T12:12:00+00:00,False,White,Offensive weapons,51.496420,London Victoria (Lu Station),-0.143102
25-34,A no further action disposal,Male,2022-09-12T12:21:00+00:00,False,White,Controlled drugs,51.531682,St  Pancras International (Station),-0.125653
over 34,A no further action disposal,Male,2022-09-12T14:56:00+00:00,False,Asian,Controlled drugs,51.509429,Westferry (Dlr),-0.026736
18-24,A no further action disposal,Male,2022-09-12T09:10:00+00:00,False,White,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
10-17,Community resolution,Male,2022-09-12T21:44:00+00:00,False,White,Controlled drugs,51.503379,Waterloo (Lu Station),-0.112212
,A no further action disposal,Male,2022-09-12T23:56:00+00:00,False,Black,Evidence of offences under the Act,51.514271,Aldgate (Lu Station),-0.075405
,A no further action disposal,Male,2022-09-13T01:07:00+00:00,False,Black,Anything to threaten or harm anyone,51.514271,Aldgate (Lu Station),-0.075405
25-34,Community resolution,Male,2022-09-13T03:44:00+00:00,False,White,Controlled drugs,51.506954,Green Park (Lu Station),-0.142080
18-24,A no further action disposal,Male,2022-09-13T08:30:00+00:00,False,Asian,Stolen goods,51.515776,Paddington (Lu Station),-0.174871
,A no further action disposal,Male,2022-09-13T12:47:00+00:00,False,Black,Controlled drugs,51.523001,Russell Square (Lu Station),-0.124318
18-24,A no further action disposal,Male,2022-09-13T13:51:00+00:00,False,White,Evidence of offences under the Act,51.496420,London Victoria (Lu Station),-0.143102
10-17,A no further action disposal,Male,2022-09-13T13:56:00+00:00,False,Black,Offensive weapons,51.528664,Euston (Lu Station),-0.133296
over 34,A no further action disposal,Male,2022-09-13T14:03:00+00:00,False,White,Controlled drugs,51.511770,Blackfriars (Station),-0.102879
18-24,A no further action disposal,Male,2022-09-13T14:32:00+00:00,False,Other,Stolen goods,51.496420,London Victoria (Lu Station),-0.143102
18-24,A no further action disposal,Male,2022-09-13T13:40:00+00:00,False,Other,Stolen goods,51.496420,London Victoria (Lu Station),-0.143102
25-34,A no further action disposal,Male,2022-09-13T14:46:00+00:00,False,White,Stolen goods,51.505587,London Bridge (Lu Station),-0.086493
10-17,Arrest,Male,2022-09-13T17:12:00+00:00,False,Black,Controlled drugs,51.531682,St  Pancras International (Station),-0.125653
25-34,A no further action disposal,Male,2022-09-13T17:20:00+00:00,False,White,Controlled drugs,51.443175,Balham (Station),-0.151802
25-34,A no further action disposal,Male,2022-09-13T17:10:00+00:00,False,White,Controlled drugs,51.443175,Balham (Station),-0.151802
over 34,A no further action disposal,Male,2022-09-13T20:55:00+00:00,False,Black,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
18-24,A no further action disposal,Male,2022-09-14T12:57:00+00:00,False,Black,Controlled drugs,51.407924,Mitcham Eastfields (Station),-0.154595
18-24,Community resolution,Male,2022-09-14T12:56:00+00:00,False,,Controlled drugs,51.503379,Waterloo (Lu Station),-0.112212
over 34,A no further action disposal,Male,2022-09-14T15:21:00+00:00,False,,Controlled drugs,51.532382,Kings Cross (Station),-0.123297
over 34,Community resolution,Male,2022-09-14T15:34:00+00:00,False,White,Controlled drugs,51.528665,Euston (Station),-0.132849
18-24,A no further action disposal,Male,2022-09-14T16:50:00+00:00,False,Asian,Controlled drugs,51.541693,Stratford (Lu Station),-0.003752
over 34,Summons / charged by post,Male,2022-09-14T17:30:00+00:00,False,Black,Article for use in theft,51.519060,Liverpool Street (Station),-0.080342
over 34,A no further action disposal,Male,2022-09-14T20:33:00+00:00,False,,Evidence of offences under the Act,51.515776,Paddington (Lu Station),-0.174871
over 34,Arrest,Male,2022-09-14T21:34:00+00:00,False,White,Controlled drugs,51.509429,Westferry (Dlr),-0.026736
