"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-05","May-2020","IDX","Index","0","Units",,,84.9875178374011,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,89.1226738938637,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,93.254843251339,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,97.3338539423015,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,97.259906306874,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,96.8911990750747,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,96.7668684127406,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,96.8653280630635,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units",,,97.143324881483,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units",,,97.5562593961091,,
