item,date,mean,median
Takeaway Fish & Chips,2018-01-01,6.0205226,6
Takeaway Fish & Chips,2018-02-01,6.0316153,6.0500002
Takeaway Fish & Chips,2018-03-01,6.0299244,6
Takeaway Fish & Chips,2018-04-01,6.0454888,6.0500002
Takeaway Fish & Chips,2018-05-01,6.0824428,6.0999999
Takeaway Fish & Chips,2018-06-01,6.0973682,6.1500001
Takeaway Fish & Chips,2018-07-01,6.108582,6.1999998
Takeaway Fish & Chips,2018-08-01,6.1176338,6.1999998
Takeaway Fish & Chips,2018-09-01,6.1741352,6.3000002
Takeaway Fish & Chips,2018-10-01,6.2137122,6.3000002
Takeaway Fish & Chips,2018-11-01,6.280077,6.375
Takeaway Fish & Chips,2018-12-01,6.3010769,6.375
Takeaway Fish & Chips,2019-01-01,6.3353076,6.375
Takeaway Fish & Chips,2019-02-01,6.2519231,6.3000002
Takeaway Fish & Chips,2019-03-01,6.2882576,6.375
Takeaway Fish & Chips,2019-04-01,6.3674045,6.4499998
Takeaway Fish & Chips,2019-05-01,6.4108825,6.4749999
Takeaway Fish & Chips,2019-06-01,6.4482961,6.5
Takeaway Fish & Chips,2019-07-01,6.4622793,6.5
Takeaway Fish & Chips,2019-08-01,6.4785075,6.5
Takeaway Fish & Chips,2019-09-01,6.4806151,6.5
Takeaway Fish & Chips,2019-10-01,6.5293283,6.5
Takeaway Fish & Chips,2019-11-01,6.5557461,6.5
Takeaway Fish & Chips,2019-12-01,6.5860448,6.5
Takeaway Fish & Chips,2020-01-01,6.6209021,6.5
Takeaway Fish & Chips,2020-02-01,6.5782814,6.5749998
Takeaway Fish & Chips,2020-03-01,6.5444698,6.5
Takeaway Fish & Chips,2020-04-01,6.7096667,6.6999998
Takeaway Fish & Chips,2020-05-01,6.475111,6.3000002
Takeaway Fish & Chips,2020-06-01,6.7187257,6.6999998
Takeaway Fish & Chips,2020-07-01,6.8496394,6.8000002
Takeaway Fish & Chips,2020-08-01,6.7343683,6.8000002
Takeaway Fish & Chips,2020-09-01,6.7753305,6.8000002
Takeaway Fish & Chips,2020-10-01,6.8328991,6.9000001
Takeaway Fish & Chips,2020-11-01,6.9631553,6.9899998
Takeaway Fish & Chips,2020-12-01,7.0265093,6.9749999
Takeaway Fish & Chips,2021-01-01,6.960196,7
Takeaway Fish & Chips,2021-02-01,6.9255981,6.9000001
Takeaway Fish & Chips,2021-03-01,7.0141792,7
Takeaway Fish & Chips,2021-04-01,7.0447946,7
Takeaway Fish & Chips,2021-05-01,7.0352478,7
Takeaway Fish & Chips,2021-06-01,6.9747481,6.9000001
Takeaway Fish & Chips,2021-07-01,6.9846063,6.9000001
Takeaway Fish & Chips,2021-08-01,7.0178175,7
