GSScode,name,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile,has_co-operative,has_iceland,has_lidl,has_marks and spencer,has_morrisons,has_sainsburys,has_tesco,has_waitrose,Con_win
S14000100,Fife North East,SNP,57.6,77.9,75.2,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
E14001237,Filton & Bradley Stoke,Con,56.8,90.9,88.2,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
E14001238,Finchley & Golders Green,Con,77.4,84.6,84.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,False,True,True,True,True
E14001239,Folkestone & Hythe,Con,45.3,79.0,63.9,Third Quintile (77.5%-80.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001240,Forest of Dean,Con,49.0,83.8,83.1,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,False,True,False,True,False,True,False,True
N05000008,Foyle,SDLP,,,,,,,False,True,True,True,False,True,True,False,False
E14001241,Frome & East Somerset,Con,45.7,79.5,77.5,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,True
E14001242,Fylde,Con,51.5,73.0,73.0,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,False,True
E14001243,Gainsborough,Con,24.7,72.2,61.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,False,True,True,True,False,True,False,True
E14001244,Gateshead Central & Whickham,Lab,51.5,82.2,81.4,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,False,True,False,False
E14001245,Gedling,Con,49.0,78.0,75.9,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
E14001246,Gillingham & Rainham,Con,33.0,78.9,75.7,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
S14000084,Glasgow East,SNP,51.7,70.5,65.0,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
S14000085,Glasgow North,SNP,69.8,77.3,75.6,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,True,True,True,False,True,True,False,False
S14000086,Glasgow North East,SNP,47.1,66.1,66.1,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,False,True,False,False
S14000087,Glasgow South,SNP,68.6,82.4,78.7,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,False,False
