LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,HOUSECOST,NOMINAL,IDX2015,A,2000,58.58386076
AUT,HOUSECOST,NOMINAL,IDX2015,A,2001,59.08182358
AUT,HOUSECOST,NOMINAL,IDX2015,A,2002,59.41868078
AUT,HOUSECOST,NOMINAL,IDX2015,A,2003,59.57978639
AUT,HOUSECOST,NOMINAL,IDX2015,A,2004,58.43740111
AUT,HOUSECOST,NOMINAL,IDX2015,A,2005,61.35194818
AUT,HOUSECOST,NOMINAL,IDX2015,A,2006,63.87105419
AUT,HOUSECOST,NOMINAL,IDX2015,A,2007,66.85883109
AUT,HOUSECOST,NOMINAL,IDX2015,A,2008,67.57648339
AUT,HOUSECOST,NOMINAL,IDX2015,A,2009,70.21275712
AUT,HOUSECOST,NOMINAL,IDX2015,A,2010,76.7975
AUT,HOUSECOST,NOMINAL,IDX2015,A,2011,81.5975
AUT,HOUSECOST,NOMINAL,IDX2015,A,2012,87.57
AUT,HOUSECOST,NOMINAL,IDX2015,A,2013,92.1
AUT,HOUSECOST,NOMINAL,IDX2015,A,2014,95.33
AUT,HOUSECOST,NOMINAL,IDX2015,A,2015,100
AUT,HOUSECOST,NOMINAL,IDX2015,A,2016,108.5325
AUT,HOUSECOST,NOMINAL,IDX2015,A,2017,114.26
AUT,HOUSECOST,NOMINAL,IDX2015,A,2018,119.64
AUT,HOUSECOST,NOMINAL,IDX2015,A,2019,126.6
AUT,HOUSECOST,NOMINAL,IDX2015,A,2020,136.31125
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2000,82.14758687
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2001,81.72389133
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2002,80.87309899
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2003,78.64808026
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2004,74.80185202
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2005,74.07902874
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2006,74.00546752
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2007,74.18619682
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2008,73.00437006
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2009,76.02691081
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2010,82.68812602
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2011,85.89241798
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2012,89.07679497
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2013,94.16091233
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2014,95.57799556
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2015,100
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2016,105.4626148
