Record Date,Security Type Description,Security Class 1 Description,Security Class 2 Description,Interest Rate,Yield,Issue Date,Maturity Date,Interest Payable Date 1,Interest Payable Date 2,Interest Payable Date 3,Interest Payable Date 4,Issued Amount (in Millions),Amount Adjusted for Inflation (in Millions),Redeemed Amount (in Millions),Outstanding Amount (in Millions)
2023-03-31,Marketable,Notes,91282CFW6,4.5,4.605,2022-11-15,2025-11-15,May-15,Nov-15,,,54026.6375,0.0,0.0,54026.6375
2023-03-31,Marketable,Notes,9128285N6,2.875,2.974,2018-11-30,2025-11-30,May-31,Nov-30,,,34809.1908,0.0,0.0,34809.1908
2023-03-31,Marketable,Notes,91282CAZ4,0.375,0.397,2020-11-30,2025-11-30,May-31,Nov-30,,,64907.5887,0.0,0.0,64907.5887
2023-03-31,Marketable,Notes,91282CGA3,4.0,4.093,2022-12-15,2025-12-15,Jun-15,Dec-15,,,39998.8552,0.0,0.0,39998.8552
2023-03-31,Marketable,Notes,9128285T3,2.625,2.68,2018-12-31,2025-12-31,Jun-30,Dec-31,,,32000.157,0.0,0.0,32000.157
2023-03-31,Marketable,Notes,91282CBC4,0.375,0.394,2020-12-31,2025-12-31,Jun-30,Dec-31,,,67976.5429,0.0,0.0,67976.5429
2023-03-31,Marketable,Notes,91282CGE5,3.875,3.977,2023-01-17,2026-01-15,Jul-15,Jan-15,,,39998.0822,0.0,0.0,39998.0822
2023-03-31,Marketable,Notes,9128286A3,2.625,2.625,2019-01-31,2026-01-31,Jul-31,Jan-31,,,32000.1042,0.0,0.0,32000.1042
2023-03-31,Marketable,Notes,91282CBH3,0.375,0.424,2021-02-01,2026-01-31,Jul-31,Jan-31,,,69244.7058,0.0,0.0,69244.7058
2023-03-31,Marketable,Notes,912828P46,1.625,1.73,2016-02-16,2026-02-15,Aug-15,Feb-15,,,24805.84,0.0,0.0,64940.6599
2023-03-31,Marketable,Notes,91282CGL9,4.0,4.073,2023-02-15,2026-02-15,Aug-15,Feb-15,,,55630.5862,0.0,0.0,55630.5862
2023-03-31,Marketable,Notes,9128286F2,2.5,2.538,2019-02-28,2026-02-28,Aug-31,Feb-29,,,33540.1011,0.0,0.0,33540.1011
2023-03-31,Marketable,Notes,91282CBQ3,0.5,0.621,2021-03-01,2026-02-28,Aug-31,Feb-28,,,74214.4683,0.0,0.0,74214.4683
2023-03-31,Marketable,Notes,91282CGR6,4.625,4.635,2023-03-15,2026-03-15,Sep-15,Mar-15,,,39999.9487,0.0,0.0,39999.9487
2023-03-31,Marketable,Notes,9128286L9,2.25,2.281,2019-04-01,2026-03-31,Sep-30,Mar-31,,,31999.9707,0.0,0.0,31999.9707
2023-03-31,Marketable,Notes,91282CBT7,0.75,0.85,2021-03-31,2026-03-31,Sep-30,Mar-31,,,71953.7456,0.0,0.0,71953.7456
2023-03-31,Marketable,Notes,9128286S4,2.375,2.426,2019-04-30,2026-04-30,Oct-31,Apr-30,,,32408.2418,0.0,0.0,32408.2418
2023-03-31,Marketable,Notes,91282CBW0,0.75,0.849,2021-04-30,2026-04-30,Oct-31,Apr-30,,,72649.3797,0.0,0.0,72649.3797
2023-03-31,Marketable,Notes,912828R36,1.625,1.71,2016-05-16,2026-05-15,Nov-15,May-15,,,28201.0181,0.0,0.0,69496.7591
2023-03-31,Marketable,Notes,9128286X3,2.125,2.144,2019-05-31,2026-05-31,Nov-30,May-31,,,35361.5669,0.0,0.0,35361.5669
2023-03-31,Marketable,Notes,91282CCF6,0.75,0.788,2021-06-01,2026-05-31,Nov-30,May-31,,,72840.141,0.0,0.0,72840.141
2023-03-31,Marketable,Notes,9128287B0,1.875,1.889,2019-07-01,2026-06-30,Dec-31,Jun-30,,,33828.1221,0.0,0.0,33828.1221
2023-03-31,Marketable,Notes,91282CCJ8,0.875,0.904,2021-06-30,2026-06-30,Dec-31,Jun-30,,,70259.2718,0.0,0.0,70259.2718
2023-03-31,Marketable,Notes,912828Y95,1.875,1.967,2019-07-31,2026-07-31,Jan-31,Jul-31,,,33271.1323,0.0,0.0,33271.1323
2023-03-31,Marketable,Notes,91282CCP4,0.625,0.71,2021-08-02,2026-07-31,Jan-31,Jul-31,,,66841.5919,0.0,0.0,66841.5919
2023-03-31,Marketable,Notes,9128282A7,1.5,1.503,2016-08-15,2026-08-15,Feb-15,Aug-15,,,25355.9764,0.0,0.0,65349.2405
2023-03-31,Marketable,Notes,912828YD6,1.375,1.489,2019-09-03,2026-08-31,Feb-29,Aug-31,,,36155.3821,0.0,0.0,36155.3821
2023-03-31,Marketable,Notes,91282CCW9,0.75,0.831,2021-08-31,2026-08-31,Feb-28,Aug-31,,,68664.147,0.0,0.0,68664.147
2023-03-31,Marketable,Notes,912828YG9,1.625,1.633,2019-09-30,2026-09-30,Mar-31,Sep-30,,,35324.2104,0.0,0.0,35324.2104
2023-03-31,Marketable,Notes,91282CCZ2,0.875,0.99,2021-09-30,2026-09-30,Mar-31,Sep-30,,,68346.4253,0.0,0.0,68346.4253
2023-03-31,Marketable,Notes,912828YQ7,1.625,1.657,2019-10-31,2026-10-31,Apr-30,Oct-31,,,35345.6666,0.0,0.0,35345.6666
2023-03-31,Marketable,Notes,91282CDG3,1.125,1.157,2021-11-01,2026-10-31,Apr-30,Oct-31,,,67201.6911,0.0,0.0,67201.6911
2023-03-31,Marketable,Notes,912828U24,2.0,2.02,2016-11-15,2026-11-15,May-15,Nov-15,,,28035.2779,0.0,0.0,69134.5749
2023-03-31,Marketable,Notes,912828YU8,1.625,1.719,2019-12-02,2026-11-30,May-31,Nov-30,,,34540.4881,0.0,0.0,34540.4881
2023-03-31,Marketable,Notes,91282CDK4,1.25,1.319,2021-11-30,2026-11-30,May-31,Nov-30,,,63863.0424,0.0,0.0,63863.0424
2023-03-31,Marketable,Notes,912828YX2,1.75,1.835,2019-12-31,2026-12-31,Jun-30,Dec-31,,,35011.7014,0.0,0.0,35011.7014
2023-03-31,Marketable,Notes,91282CDQ1,1.25,1.263,2021-12-31,2026-12-31,Jun-30,Dec-31,,,64744.1915,0.0,0.0,64744.1915
2023-03-31,Marketable,Notes,912828Z78,1.5,1.57,2020-01-31,2027-01-31,Jul-31,Jan-31,,,35304.3009,0.0,0.0,98524.8406
2023-03-31,Marketable,Notes,912828V98,2.25,2.333,2017-02-15,2027-02-15,Aug-15,Feb-15,,,25655.7885,0.0,0.0,65815.8684
2023-03-31,Marketable,Notes,912828ZB9,1.125,1.247,2020-03-02,2027-02-28,Aug-31,Feb-28,,,36836.3239,0.0,0.0,36836.3239
2023-03-31,Marketable,Notes,91282CEC1,1.875,1.88,2022-02-28,2027-02-28,Aug-31,Feb-28,,,62079.7848,0.0,0.0,62079.7848
2023-03-31,Marketable,Notes,912828ZE3,0.625,0.68,2020-03-31,2027-03-31,Sep-30,Mar-31,,,36302.5047,0.0,0.0,36302.5047
2023-03-31,Marketable,Notes,91282CEF4,2.5,2.543,2022-03-31,2027-03-31,Sep-30,Mar-31,,,60494.7113,0.0,0.0,60494.7113
2023-03-31,Marketable,Notes,912828ZN3,0.5,0.525,2020-04-30,2027-04-30,Oct-31,Apr-30,,,38039.5902,0.0,0.0,38039.5902
2023-03-31,Marketable,Notes,91282CEN7,2.75,2.785,2022-05-02,2027-04-30,Oct-31,Apr-30,,,55793.8757,0.0,0.0,55793.8757
2023-03-31,Marketable,Notes,912828X88,2.375,2.4,2017-05-15,2027-05-15,Nov-15,May-15,,,30593.7355,0.0,0.0,71050.2206
2023-03-31,Marketable,Notes,912828ZS2,0.5,0.553,2020-06-01,2027-05-31,Nov-30,May-31,,,41989.3545,0.0,0.0,41989.3545
2023-03-31,Marketable,Notes,91282CET4,2.625,2.736,2022-05-31,2027-05-31,Nov-30,May-31,,,55215.6122,0.0,0.0,55215.6122
2023-03-31,Marketable,Notes,912828ZV5,0.5,0.511,2020-06-30,2027-06-30,Dec-31,Jun-30,,,46607.7319,0.0,0.0,46607.7319
2023-03-31,Marketable,Notes,91282CEW7,3.25,3.271,2022-06-30,2027-06-30,Dec-31,Jun-30,,,50592.5718,0.0,0.0,50592.5718
2023-03-31,Marketable,Notes,91282CAD3,0.375,0.446,2020-07-31,2027-07-31,Jan-31,Jul-31,,,49000.1011,0.0,0.0,49000.1011
2023-03-31,Marketable,Notes,91282CFB2,2.75,2.86,2022-08-01,2027-07-31,Jan-31,Jul-31,,,49990.6782,0.0,0.0,49990.6782
2023-03-31,Marketable,Notes,9128282R0,2.25,2.25,2017-08-15,2027-08-15,Feb-15,Aug-15,,,29920.4635,0.0,0.0,69915.3604
2023-03-31,Marketable,Notes,91282CAH4,0.5,0.519,2020-08-31,2027-08-31,Feb-28,Aug-31,,,51083.0757,0.0,0.0,51083.0757
2023-03-31,Marketable,Notes,91282CFH9,3.125,3.23,2022-08-31,2027-08-31,Feb-28,Aug-31,,,50857.9032,0.0,0.0,50857.9032
2023-03-31,Marketable,Notes,91282CAL5,0.375,0.462,2020-09-30,2027-09-30,Mar-31,Sep-30,,,56845.2943,0.0,0.0,56845.2943
2023-03-31,Marketable,Notes,91282CFM8,4.125,4.228,2022-09-30,2027-09-30,Mar-31,Sep-30,,,44000.1154,0.0,0.0,44000.1154
2023-03-31,Marketable,Notes,91282CAU5,0.5,0.6,2020-11-02,2027-10-31,Apr-30,Oct-31,,,58622.9768,0.0,0.0,58622.9768
2023-03-31,Marketable,Notes,91282CFU0,4.125,4.192,2022-10-31,2027-10-31,Apr-30,Oct-31,,,42999.5559,0.0,0.0,42999.5559
2023-03-31,Marketable,Notes,9128283F5,2.25,2.314,2017-11-15,2027-11-15,May-15,Nov-15,,,25796.7611,0.0,0.0,66474.1106
2023-03-31,Marketable,Notes,91282CAY7,0.625,0.653,2020-11-30,2027-11-30,May-31,Nov-30,,,63768.8862,0.0,0.0,63768.8862
2023-03-31,Marketable,Notes,91282CFZ9,3.875,3.974,2022-11-30,2027-11-30,May-31,Nov-30,,,47669.9145,0.0,0.0,47669.9145
2023-03-31,Marketable,Notes,91282CBB6,0.625,0.662,2020-12-31,2027-12-31,Jun-30,Dec-31,,,67976.5168,0.0,0.0,67976.5168
2023-03-31,Marketable,Notes,91282CGC9,3.875,3.973,2023-01-03,2027-12-31,Jun-30,Dec-31,,,42999.7134,0.0,0.0,42999.7134
2023-03-31,Marketable,Notes,91282CBJ9,0.75,0.754,2021-02-01,2028-01-31,Jul-31,Jan-31,,,70379.8497,0.0,0.0,70379.8497
2023-03-31,Marketable,Notes,91282CGH8,3.5,3.53,2023-01-31,2028-01-31,Jul-31,Jan-31,,,42989.6949,0.0,0.0,42989.6949
2023-03-31,Marketable,Notes,9128283W8,2.75,2.811,2018-02-15,2028-02-15,Aug-15,Feb-15,,,28536.05,0.0,0.0,70572.1045
2023-03-31,Marketable,Notes,91282CBP5,1.125,1.195,2021-03-01,2028-02-29,Aug-31,Feb-28,,,75431.1485,0.0,0.0,75431.1485
2023-03-31,Marketable,Notes,91282CGP0,4.0,4.109,2023-02-28,2028-02-29,Aug-31,Feb-29,,,52769.3168,0.0,0.0,52769.3168
2023-03-31,Marketable,Notes,91282CBS9,1.25,1.3,2021-03-31,2028-03-31,Sep-30,Mar-31,,,73132.916,0.0,0.0,73132.916
2023-03-31,Marketable,Notes,91282CGT2,3.625,3.665,2023-03-31,2028-03-31,Sep-30,Mar-31,,,43000.0518,0.0,0.0,43000.0518
2023-03-31,Marketable,Notes,91282CBZ3,1.25,1.306,2021-04-30,2028-04-30,Oct-31,Apr-30,,,73840.2701,0.0,0.0,73840.2701
2023-03-31,Marketable,Notes,9128284N7,2.875,2.995,2018-05-15,2028-05-15,Nov-15,May-15,,,31026.682,0.0,0.0,75107.2308
2023-03-31,Marketable,Notes,91282CCE9,1.25,1.285,2021-06-01,2028-05-31,Nov-30,May-31,,,74034.2334,0.0,0.0,74034.2334
2023-03-31,Marketable,Notes,91282CCH2,1.25,1.264,2021-06-30,2028-06-30,Dec-31,Jun-30,,,71410.1021,0.0,0.0,71410.1021
2023-03-31,Marketable,Notes,91282CCR0,1.0,1.05,2021-08-02,2028-07-31,Jan-31,Jul-31,,,67937.6586,0.0,0.0,67937.6586
2023-03-31,Marketable,Notes,9128284V9,2.875,2.96,2018-08-15,2028-08-15,Feb-15,Aug-15,,,29495.4751,0.0,0.0,75495.7101
2023-03-31,Marketable,Notes,91282CCV1,1.125,1.155,2021-08-31,2028-08-31,Feb-28,Aug-31,,,69789.8029,0.0,-6.0,69783.8029
2023-03-31,Marketable,Notes,91282CCY5,1.25,1.332,2021-09-30,2028-09-30,Mar-31,Sep-30,,,69466.8874,0.0,0.0,69466.8874
2023-03-31,Marketable,Notes,91282CDF5,1.375,1.461,2021-11-01,2028-10-31,Apr-30,Oct-31,,,68303.325,0.0,-3.0,68300.325
2023-03-31,Marketable,Notes,9128285M8,3.125,3.209,2018-11-15,2028-11-15,May-15,Nov-15,,,32506.5792,0.0,0.0,80505.8543
2023-03-31,Marketable,Notes,91282CDL2,1.5,1.588,2021-11-30,2028-11-30,May-31,Nov-30,,,63863.6206,0.0,-6.0,63857.6206
2023-03-31,Marketable,Notes,91282CDP3,1.375,1.48,2021-12-31,2028-12-31,Jun-30,Dec-31,,,63608.1801,0.0,0.0,63608.1801
2023-03-31,Marketable,Notes,91282CDW8,1.75,1.769,2022-01-31,2029-01-31,Jul-31,Jan-31,,,60921.6569,0.0,-4.0,60917.6569
2023-03-31,Marketable,Notes,9128286B1,2.625,2.689,2019-02-15,2029-02-15,Aug-15,Feb-15,,,33502.0739,0.0,0.0,81505.475
2023-03-31,Marketable,Notes,91282CEB3,1.875,1.905,2022-02-28,2029-02-28,Aug-31,Feb-28,,,58565.8318,0.0,0.0,58565.8318
2023-03-31,Marketable,Notes,91282CEE7,2.375,2.499,2022-03-31,2029-03-31,Sep-30,Mar-31,,,55749.7207,0.0,0.0,55749.7207
2023-03-31,Marketable,Notes,91282CEM9,2.875,2.908,2022-05-02,2029-04-30,Oct-31,Apr-30,,,50100.2335,0.0,0.0,50100.2335
2023-03-31,Marketable,Notes,9128286T2,2.375,2.479,2019-05-15,2029-05-15,Nov-15,May-15,,,36197.7175,0.0,0.0,84427.0589
2023-03-31,Marketable,Notes,91282CES6,2.75,2.777,2022-05-31,2029-05-31,Nov-30,May-31,,,48314.1243,0.0,0.0,48314.1243
2023-03-31,Marketable,Notes,91282CEV9,3.25,3.28,2022-06-30,2029-06-30,Dec-31,Jun-30,,,43057.1464,0.0,0.0,43057.1464
2023-03-31,Marketable,Notes,91282CFC0,2.625,2.73,2022-08-01,2029-07-31,Jan-31,Jul-31,,,41296.9639,0.0,0.0,41296.9639
2023-03-31,Marketable,Notes,912828YB0,1.625,1.67,2019-08-15,2029-08-15,Feb-15,Aug-15,,,44618.5812,0.0,0.0,92618.67
2023-03-31,Marketable,Notes,91282CFJ5,3.125,3.13,2022-08-31,2029-08-31,Feb-28,Aug-31,,,41817.502,0.0,0.0,41817.502
2023-03-31,Marketable,Notes,91282CFL0,3.875,3.898,2022-09-30,2029-09-30,Mar-31,Sep-30,,,36001.998,0.0,0.0,36001.998
2023-03-31,Marketable,Notes,91282CFT3,4.0,4.027,2022-10-31,2029-10-31,Apr-30,Oct-31,,,35000.0228,0.0,0.0,35000.0228
2023-03-31,Marketable,Notes,912828YS3,1.75,1.809,2019-11-15,2029-11-15,May-15,Nov-15,,,39784.5457,0.0,0.0,88552.5072
2023-03-31,Marketable,Notes,91282CFY2,3.875,3.89,2022-11-30,2029-11-30,May-31,Nov-30,,,38805.4113,0.0,0.0,38805.4113
2023-03-31,Marketable,Notes,91282CGB1,3.875,3.921,2023-01-03,2029-12-31,Jun-30,Dec-31,,,34999.9553,0.0,0.0,34999.9553
2023-03-31,Marketable,Notes,91282CGJ4,3.5,3.517,2023-01-31,2030-01-31,Jul-31,Jan-31,,,34999.566,0.0,0.0,34999.566
2023-03-31,Marketable,Notes,912828Z94,1.5,1.622,2020-02-18,2030-02-15,Aug-15,Feb-15,,,39007.7122,0.0,0.0,88112.5957
2023-03-31,Marketable,Notes,91282CGQ8,4.0,4.062,2023-02-28,2030-02-28,Aug-31,Feb-29,,,42952.3735,0.0,0.0,42952.3735
2023-03-31,Marketable,Notes,91282CGS4,3.625,3.626,2023-03-31,2030-03-31,Sep-30,Mar-31,,,35000.0606,0.0,0.0,35000.0606
2023-03-31,Marketable,Notes,912828ZQ6,0.625,0.7,2020-05-15,2030-05-15,Nov-15,May-15,,,48923.195,0.0,0.0,109879.7215
2023-03-31,Marketable,Notes,91282CAE1,0.625,0.677,2020-08-17,2030-08-15,Feb-15,Aug-15,,,60600.628,0.0,0.0,133018.6532
2023-03-31,Marketable,Notes,91282CAV3,0.875,0.96,2020-11-16,2030-11-15,May-15,Nov-15,,,52242.272,0.0,0.0,133680.8207
2023-03-31,Marketable,Notes,91282CBL4,1.125,1.155,2021-02-16,2031-02-15,Aug-15,Feb-15,,,55873.9708,0.0,0.0,140062.6147
2023-03-31,Marketable,Notes,91282CCB5,1.625,1.684,2021-05-17,2031-05-15,Nov-15,May-15,,,62752.7687,0.0,0.0,148500.7151
2023-03-31,Marketable,Notes,91282CCS8,1.25,1.34,2021-08-16,2031-08-15,Feb-15,Aug-15,,,59291.8637,0.0,0.0,142197.4573
2023-03-31,Marketable,Notes,91282CDJ7,1.375,1.444,2021-11-15,2031-11-15,May-15,Nov-15,,,61559.6748,0.0,0.0,144644.2759
2023-03-31,Marketable,Notes,91282CDY4,1.875,1.904,2022-02-15,2032-02-15,Aug-15,Feb-15,,,59383.3893,0.0,0.0,141206.7051
2023-03-31,Marketable,Notes,91282CEP2,2.875,2.943,2022-05-16,2032-05-15,Nov-15,May-15,,,61194.0544,0.0,0.0,133340.6339
2023-03-31,Marketable,Notes,91282CFF3,2.75,2.755,2022-08-15,2032-08-15,Feb-15,Aug-15,,,57136.8754,0.0,0.0,121137.2032
2023-03-31,Marketable,Notes,91282CFV8,4.125,4.14,2022-11-15,2032-11-15,May-15,Nov-15,,,47267.1045,0.0,0.0,111255.1404
2023-03-31,Marketable,Notes,91282CGM7,3.5,3.613,2023-02-15,2033-02-15,Aug-15,Feb-15,,,48667.2178,0.0,0.0,80667.3939
2023-03-31,Marketable,Bonds,912810EQ7,6.25,6.3283,1993-08-16,2023-08-15,Feb-15,Aug-15,,,11530.334,0.0,-250.0,22659.044
2023-03-31,Marketable,Bonds,912810ES3,7.5,7.5583,1994-08-15,2024-11-15,Nov-15,May-15,,,11469.662,0.0,-1865.5,9604.162
2023-03-31,Marketable,Bonds,912810ET1,7.625,7.6532,1995-02-15,2025-02-15,Aug-15,Feb-15,,,11725.17,0.0,-2216.0,9509.17
2023-03-31,Marketable,Bonds,912810EV6,6.875,6.9062,1995-08-15,2025-08-15,Feb-15,Aug-15,,,12602.007,0.0,-1414.8,11187.207
2023-03-31,Marketable,Bonds,912810EW4,6.0,6.1187,1996-02-15,2026-02-15,Aug-15,Feb-15,,,12904.916,0.0,-67.0,12837.916
2023-03-31,Marketable,Bonds,912810EX2,6.75,6.7683,1996-08-15,2026-08-15,Feb-15,Aug-15,,,10893.818,0.0,-2083.4,8810.418
2023-03-31,Marketable,Bonds,912810EY0,6.5,6.6193,1996-11-15,2026-11-15,May-15,Nov-15,,,11493.177,0.0,-633.0,10860.177
2023-03-31,Marketable,Bonds,912810EZ7,6.625,6.6397,1997-02-18,2027-02-15,Aug-15,Feb-15,,,10456.071,0.0,-934.1,9521.971
2023-03-31,Marketable,Bonds,912810FA1,6.375,6.4452,1997-08-15,2027-08-15,Feb-15,Aug-15,,,10735.756,0.0,-1539.0,9196.756
2023-03-31,Marketable,Bonds,912810FB9,6.125,6.2014,1997-11-17,2027-11-15,May-15,Nov-15,,,11184.353,0.0,-497.2,22021.339
2023-03-31,Marketable,Bonds,912810FE3,5.5,5.5904,1998-08-17,2028-08-15,Feb-15,Aug-15,,,11776.201,0.0,0.0,11776.201
2023-03-31,Marketable,Bonds,912810FF0,5.25,5.3,1998-11-16,2028-11-15,May-15,Nov-15,,,10947.052,0.0,0.0,10947.052
2023-03-31,Marketable,Bonds,912810FG8,5.25,5.298,1999-02-16,2029-02-15,Aug-15,Feb-15,,,11350.341,0.0,0.0,11350.341
2023-03-31,Marketable,Bonds,912810FJ2,6.125,6.144,1999-08-16,2029-08-15,Feb-15,Aug-15,,,11178.58,0.0,0.0,11178.58
2023-03-31,Marketable,Bonds,912810FM5,6.25,6.34,2000-02-15,2030-05-15,May-15,Nov-15,,,11269.069,0.0,0.0,17043.162
2023-03-31,Marketable,Bonds,912810FP8,5.375,5.46,2001-02-15,2031-02-15,Aug-15,Feb-15,,,10886.993,0.0,0.0,16427.648
2023-03-31,Marketable,Bonds,912810FT0,4.5,4.53,2006-02-15,2036-02-15,Aug-15,Feb-15,,,14841.15,0.0,0.0,26397.13
2023-03-31,Marketable,Bonds,912810PT9,4.75,4.812,2007-02-15,2037-02-15,Aug-15,Feb-15,,,9825.586,0.0,0.0,16589.456
2023-03-31,Marketable,Bonds,912810PU6,5.0,5.059,2007-08-15,2037-05-15,Nov-15,May-15,,,13846.152,0.0,0.0,21413.045
2023-03-31,Marketable,Bonds,912810PW2,4.375,4.449,2008-02-15,2038-02-15,Aug-15,Feb-15,,,13294.377,0.0,0.0,22525.1487
2023-03-31,Marketable,Bonds,912810PX0,4.5,4.609,2008-08-15,2038-05-15,Nov-15,May-15,,,13728.111,0.0,0.0,25500.1228
2023-03-31,Marketable,Bonds,912810QA9,3.5,3.54,2009-02-17,2039-02-15,Aug-15,Feb-15,,,14712.903,0.0,0.0,25908.5693
2023-03-31,Marketable,Bonds,912810QB7,4.25,4.288,2009-05-15,2039-05-15,Nov-15,May-15,,,16476.5417,0.0,0.0,38778.773
2023-03-31,Marketable,Bonds,912810QC5,4.5,4.541,2009-08-17,2039-08-15,Feb-15,Aug-15,,,17317.0373,0.0,0.0,41430.5382
2023-03-31,Marketable,Bonds,912810QD3,4.375,4.469,2009-11-16,2039-11-15,May-15,Nov-15,,,17989.3001,0.0,0.0,44564.2491
2023-03-31,Marketable,Bonds,912810QE1,4.625,4.72,2010-02-16,2040-02-15,Aug-15,Feb-15,,,17796.6808,0.0,0.0,44902.4903
2023-03-31,Marketable,Bonds,912810QH4,4.375,4.49,2010-05-17,2040-05-15,Nov-15,May-15,,,17394.3627,0.0,0.0,43473.0444
2023-03-31,Marketable,Bonds,912810SR0,1.125,1.22,2020-06-01,2040-05-15,Nov-15,May-15,,,22099.6866,0.0,0.0,60356.6392
2023-03-31,Marketable,Bonds,912810QK7,3.875,3.954,2010-08-16,2040-08-15,Feb-15,Aug-15,,,16958.1849,0.0,0.0,43213.3168
2023-03-31,Marketable,Bonds,912810SQ2,1.125,1.185,2020-08-31,2040-08-15,Feb-15,Aug-15,,,27171.8514,0.0,0.0,76517.7494
2023-03-31,Marketable,Bonds,912810QL5,4.25,4.32,2010-11-15,2040-11-15,May-15,Nov-15,,,16429.1341,0.0,0.0,42903.1887
2023-03-31,Marketable,Bonds,912810ST6,1.375,1.422,2020-11-30,2040-11-15,May-15,Nov-15,,,30745.6257,0.0,0.0,85640.9695
2023-03-31,Marketable,Bonds,912810QN1,4.75,4.75,2011-02-15,2041-02-15,Aug-15,Feb-15,,,16366.1608,0.0,0.0,43004.9451
2023-03-31,Marketable,Bonds,912810SW9,1.875,1.92,2021-03-01,2041-02-15,Aug-15,Feb-15,,,32849.0388,0.0,0.0,89742.0879
2023-03-31,Marketable,Bonds,912810QQ4,4.375,4.38,2011-05-16,2041-05-15,Nov-15,May-15,,,16000.0039,0.0,0.0,41995.5073
2023-03-31,Marketable,Bonds,912810SY5,2.25,2.286,2021-06-01,2041-05-15,Nov-15,May-15,,,32240.4836,0.0,0.0,86181.8406
2023-03-31,Marketable,Bonds,912810QS0,3.75,3.75,2011-08-15,2041-08-15,Feb-15,Aug-15,,,16489.8004,0.0,0.0,42488.8374
2023-03-31,Marketable,Bonds,912810TA6,1.75,1.85,2021-08-31,2041-08-15,Feb-15,Aug-15,,,30392.3486,0.0,0.0,83722.7416
2023-03-31,Marketable,Bonds,912810QT8,3.125,3.199,2011-11-15,2041-11-15,May-15,Nov-15,,,17224.2705,0.0,0.0,44622.4439
2023-03-31,Marketable,Bonds,912810TC2,2.0,2.065,2021-11-30,2041-11-15,May-15,Nov-15,,,24895.2035,0.0,0.0,70625.6658
2023-03-31,Marketable,Bonds,912810QU5,3.125,3.24,2012-02-15,2042-02-15,Aug-15,Feb-15,,,17950.9148,0.0,0.0,47219.0442
2023-03-31,Marketable,Bonds,912810TF5,2.375,2.396,2022-02-28,2042-02-15,Aug-15,Feb-15,,,22252.0759,0.0,0.0,59440.3664
2023-03-31,Marketable,Bonds,912810QW1,3.0,3.09,2012-05-15,2042-05-15,Nov-15,May-15,,,17001.0186,0.0,0.0,43918.6856
2023-03-31,Marketable,Bonds,912810TH1,3.25,3.29,2022-05-31,2042-05-15,Nov-15,May-15,,,19555.7451,0.0,0.0,49835.8382
2023-03-31,Marketable,Bonds,912810QX9,2.75,2.825,2012-08-15,2042-08-15,Feb-15,Aug-15,,,16000.2196,0.0,0.0,41995.4323
2023-03-31,Marketable,Bonds,912810TK4,3.375,3.38,2022-08-31,2042-08-15,Feb-15,Aug-15,,,16951.7991,0.0,0.0,40939.8734
2023-03-31,Marketable,Bonds,912810QY7,2.75,2.82,2012-11-15,2042-11-15,May-15,Nov-15,,,15995.0058,0.0,0.0,41994.0093
2023-03-31,Marketable,Bonds,912810TM0,4.0,4.072,2022-11-30,2042-11-15,May-15,Nov-15,,,16617.352,0.0,0.0,40605.2837
2023-03-31,Marketable,Bonds,912810QZ4,3.125,3.18,2013-02-15,2043-02-15,Aug-15,Feb-15,,,15999.8365,0.0,0.0,41999.7585
2023-03-31,Marketable,Bonds,912810TQ1,3.875,3.977,2023-02-28,2043-02-15,Aug-15,Feb-15,,,18408.0483,0.0,0.0,30407.8026
2023-03-31,Marketable,Bonds,912810RB6,2.875,2.98,2013-05-15,2043-05-15,Nov-15,May-15,,,16000.0296,0.0,0.0,41999.3186
2023-03-31,Marketable,Bonds,912810RC4,3.625,3.652,2013-08-15,2043-08-15,Feb-15,Aug-15,,,15998.8569,0.0,0.0,41998.9684
2023-03-31,Marketable,Bonds,912810RD2,3.75,3.81,2013-11-15,2043-11-15,May-15,Nov-15,,,15995.0431,0.0,0.0,41994.7869
2023-03-31,Marketable,Bonds,912810RE0,3.625,3.69,2014-02-18,2044-02-15,Aug-15,Feb-15,,,15999.7548,0.0,0.0,41999.8793
2023-03-31,Marketable,Bonds,912810RG5,3.375,3.44,2014-05-15,2044-05-15,Nov-15,May-15,,,15995.1467,0.0,0.0,41992.1145
2023-03-31,Marketable,Bonds,912810RH3,3.125,3.224,2014-08-15,2044-08-15,Feb-15,Aug-15,,,15999.9999,0.0,0.0,42000.0298
2023-03-31,Marketable,Bonds,912810RJ9,3.0,3.092,2014-11-17,2044-11-15,May-15,Nov-15,,,16021.3911,0.0,0.0,42020.8915
2023-03-31,Marketable,Bonds,912810RK6,2.5,2.56,2015-02-17,2045-02-15,Aug-15,Feb-15,,,16000.5989,0.0,0.0,42000.609
2023-03-31,Marketable,Bonds,912810RM2,3.0,3.044,2015-05-15,2045-05-15,Nov-15,May-15,,,16361.9009,0.0,0.0,42361.7146
2023-03-31,Marketable,Bonds,912810RN0,2.875,2.88,2015-08-17,2045-08-15,Feb-15,Aug-15,,,16321.6472,0.0,0.0,42320.9862
2023-03-31,Marketable,Bonds,912810RP5,3.0,3.07,2015-11-16,2045-11-15,May-15,Nov-15,,,16081.6808,0.0,0.0,42076.6697
2023-03-31,Marketable,Bonds,912810RQ3,2.5,2.5,2016-02-16,2046-02-15,Aug-15,Feb-15,,,16172.8217,0.0,0.0,40252.1694
