Date,Employees: Manufacturing,Employees: Total Nonfarm,Manufacturing % of Total,Imports from China (12-month avg.),Nominal GDP,Imports (% of GDP),Sources
2001-08-01,16232,132024,0.12294734290735018,102599.2,10699225.0,0.009589404840070192,
2001-09-01,16117,131765,0.12231624482981064,102465.3,10509329.0,0.009749937412750138,
2001-10-01,15972,131452,0.12150442747162463,102662.0,10638927.0,0.009649657338564313,
2001-11-01,15825,131142,0.12067072333806103,102474.0,10587357.0,0.009678902864992652,
2001-12-01,15711,130985,0.11994503187387869,102278.4,10755112.0,0.0095097475507461,
2002-01-01,15587,130852,0.11911931036590957,102266.29999999999,10787208.0,0.009480330776972131,
2002-02-01,15515,130732,0.11867790594498669,103911.5,10748485.0,0.009667548496369489,
2002-03-01,15443,130721,0.11813710115436693,103580.29999999999,10814807.0,0.009577637400279079,
2002-04-01,15392,130617,0.1178407098616566,104991.1,10859044.0,0.009668539882516362,
2002-05-01,15337,130633,0.11740524982202047,107080.09999999999,10870086.0,0.009850897223812213,
2002-06-01,15298,130683,0.11706189787501052,109409.09999999999,10933250.0,0.010007006150961516,
2002-07-01,15256,130583,0.11682990894680012,111647.0,11001682.0,0.010148175524433445,
2002-08-01,15171,130587,0.11617542328103103,114275.5,10952431.0,0.010433802322059824,
2002-09-01,15119,130498,0.11585618170393416,116639.2,10998007.0,0.010605485157447163,
2002-10-01,15060,130621,0.11529539660544628,117285.9,10998745.0,0.010663571161982572,
2002-11-01,14992,130618,0.1147774426189346,120976.70000000001,11053003.0,0.010945143143451604,
2002-12-01,14912,130470,0.11429447382540048,125192.6,11132551.0,0.011245634536055572,
2003-01-01,14866,130579,0.11384679006578394,128180.697575,11136047.0,0.011510430727797755,
2003-02-01,14781,130443,0.11331386122674271,129789.524685,11210784.0,0.011577203225483605,
2003-03-01,14721,130233,0.113035866485453,132640.569247,11175556.0,0.011868811649908068,
2003-04-01,14609,130176,0.11222498770894788,135064.82162899998,11257070.0,0.011998221706802923,
2003-05-01,14557,130197,0.11180749172407967,137102.623122,11275397.0,0.012159449740173228,
2003-06-01,14493,130192,0.11132020400639056,138502.724551,11405830.0,0.012143151752305618,
2003-07-01,14402,130183,0.11062888395566241,140728.15964099998,11468096.0,0.012271274991158076,
2003-08-01,14376,130153,0.11045461879480303,141821.62664899998,11567646.0,0.012260197679718067,
2003-09-01,14347,130252,0.110148020759758,144277.652067,11664265.0,0.012369202180077355,
2003-10-01,14334,130439,0.10989044687555102,149280.969674,11699745.0,0.012759335325171617,
2003-11-01,14316,130482,0.10971628270566056,150868.31763499998,11785685.0,0.012800979971465383,
2003-12-01,14300,130595,0.10949883226769784,152436.096898,11831272.0,0.012884168067305019,
2004-01-01,14290,130765,0.10928000611784498,155121.614819,11806039.0,0.013139175198303174,
2004-02-01,14279,130822,0.10914830838849734,156759.135384,11926738.0,0.01314350456797156,
2004-03-01,14287,131139,0.10894547007373855,160449.210793,12037563.0,0.013329044325084737,
2004-04-01,14315,131410,0.10893387109048018,163672.142561,12035851.0,0.013598717910432755,
2004-05-01,14342,131694,0.1089039743648154,166854.551991,12175794.0,0.013703792294038482,
2004-06-01,14332,131789,0.10874959215109,171615.013153,12126801.0,0.014151713477692921,
2004-07-01,14330,131849,0.10868493503932529,175738.47794199997,12279498.0,0.014311536020609309,
2004-08-01,14345,131936,0.10872695852534563,180041.477986,12299991.0,0.014637529245834408,
2004-09-01,14331,132082,0.10850077981859754,183680.898313,12336432.0,0.014889304971891388,
2004-10-01,14332,132433,0.10822076068653583,186940.738187,12471776.0,0.014989103250972436,
2004-11-01,14307,132509,0.10797002467756907,192462.782369,12514757.0,0.01537886691439554,
2004-12-01,14287,132633,0.1077182903199053,196682.033935,12595109.0,0.015615746869280767,
2005-01-01,14257,132778,0.1073747156908524,200478.859049,12748698.0,0.015725437926994584,
2005-02-01,14273,133033,0.10728916885284102,206149.306186,12750912.0,0.016167416588397755,
2005-03-01,14269,133153,0.10716243719630801,208534.13116699998,12802248.0,0.016288868264932845,
2005-04-01,14250,133516,0.10672878156925013,211937.805177,12859138.0,0.01648149395216071,
2005-05-01,14256,133687,0.10663714497295923,215923.881134,12881985.0,0.01676169325876408,
2005-06-01,14227,133940,0.10621920262804241,220012.8204,13026845.0,0.016889186936668087,
2005-07-01,14226,134297,0.10592939529550176,223723.389981,13095973.0,0.01708337287966308,
2005-08-01,14203,134495,0.10560243875236998,228076.815277,13153036.0,0.017340241087837056,
2005-09-01,14175,134551,0.10535038758537654,232984.351211,13178917.0,0.017678565788903595,
2005-10-01,14192,134644,0.10540387986096669,237649.04645599998,13236029.0,0.01795470880699944,
2005-11-01,14187,135001,0.10508811045844105,240396.18262900002,13299159.0,0.0180760439535312,
2005-12-01,14193,135161,0.1050081014493826,243470.104795,13437424.0,0.0181188079497231,
2006-01-01,14210,135425,0.10492892745061842,246966.770092,13517682.0,0.018269905305658175,
2006-02-01,14209,135731,0.10468500195239112,247934.528747,13568586.0,0.01827268727537269,
2006-03-01,14214,136040,0.10448397530138194,252280.84212500002,13711213.0,0.018399600540448174,
2006-04-01,14226,136211,0.10444090418541821,255591.453898,13695019.0,0.018663095969271747,
2006-05-01,14203,136247,0.10424449712654224,258855.902149,13782833.0,0.018781037407113618,
2006-06-01,14213,136328,0.10425591221172466,261868.899688,13782420.0,0.019000211841461806,
2006-07-01,14188,136522,0.1039246421822124,265228.240993,13791720.0,0.019230976338919292,
2006-08-01,14159,136688,0.10358626946037691,269520.28388,13884365.0,0.019411783245398693,
2006-09-01,14125,136824,0.10323481260597556,273796.420116,13934478.0,0.01964884656002184,
2006-10-01,14075,136848,0.1028513387115632,278802.169129,13966237.0,0.01996258327343292,
2006-11-01,14041,137069,0.10243745850629975,284151.12003399996,14059395.0,0.020210764405865257,
2006-12-01,14015,137253,0.10211070067685224,287774.35261199996,14093048.0,0.02041959642882079,
2007-01-01,14008,137476,0.10189414879688091,292032.409377,14135127.0,0.020660048500236325,
2007-02-01,13997,137554,0.10175640112246827,297165.93627199996,14286342.0,0.020800701556213618,
2007-03-01,13970,137781,0.10139279000733048,299357.722177,14225483.0,0.0210437650642161,
2007-04-01,13945,137843,0.10116581908403038,302140.175017,14363143.0,0.021035798015587536,
2007-05-01,13929,137993,0.10093990274869015,305113.114328,14400878.0,0.02118711889150092,
2007-06-01,13911,138072,0.10075178167912394,308194.37613000005,14442225.0,0.021339812676370855,
2007-07-01,13889,138042,0.10061430579099115,312163.536179,14423343.0,0.021642939239467578,
2007-08-01,13828,138017,0.10019055623582603,313874.702379,14601667.0,0.021495812935536745,
2007-09-01,13790,138103,0.09985300826194941,315723.046994,14667341.0,0.021525581698414183,
2007-10-01,13764,138174,0.09961353076555647,317889.85165699996,14664517.0,0.021677485297129116,
2007-11-01,13757,138292,0.09947791629306106,319895.491227,14714942.0,0.021739500653621333,
2007-12-01,13746,138398,0.09932224454110608,321442.86693400005,14765715.0,0.021769542953659883,
2008-01-01,13725,138399,0.0991697916892463,321995.336407,14802144.0,0.021753290361653015,
2008-02-01,13696,138323,0.09901462518886953,323052.34249999997,14627576.0,0.022085159051643277,
