Date,Manufacturing Employees,Industrial Output,Manufacturing Output,Employees
1996-08-01,17255.0,123.20222215717077,127.67270473173082,102.47045549023102
1996-09-01,17252.0,123.97243119997137,128.73441697086577,102.45263970544569
1996-10-01,17268.0,123.95437942553073,128.54810937392384,102.54765722430072
1996-11-01,17277.0,125.05179720864271,129.68007438528824,102.6011045786567
1996-12-01,17284.0,125.83078819576578,130.75297885529304,102.64267474315577
1997-01-01,17297.0,126.05960663394579,130.8955506577588,102.7198764772255
1997-02-01,17316.0,127.54082790966956,132.68647978510916,102.83270978086586
1997-03-01,17340.0,128.35722347446242,134.050210069564,102.9752360591484
1997-04-01,17349.0,128.46423309231776,133.86562435429434,103.02868341350437
1997-05-01,17362.0,129.19394761407582,134.8548453750258,103.10588514757409
1997-06-01,17387.0,129.78542782705424,135.67790481438115,103.2543500207851
1997-07-01,17389.0,130.88349612456048,136.68744403884563,103.26622721064196
1997-08-01,17452.0,132.194607886186,138.42189544734484,103.64035869113368
1997-09-01,17465.0,133.4172496901925,139.6621668158964,103.71756042520339
1997-10-01,17513.0,134.600698001945,140.9186238721675,104.00261298176852
1997-11-01,17556.0,135.68445498277762,142.40942902403745,104.25797256369142
1997-12-01,17588.0,136.25446822074554,143.17446105103656,104.44800760140151
1998-01-01,17619.0,136.87733575324685,144.3697913079413,104.63210404418315
1998-02-01,17627.0,137.1037147624484,144.54611199118395,104.67961280361067
1998-03-01,17637.0,137.16356208672005,144.24960396721536,104.73899875289507
1998-04-01,17637.0,137.62656570683268,144.87929609477237,104.73899875289507
1998-05-01,17624.0,138.53338277242727,145.69512363110405,104.66179701882534
1998-06-01,17608.0,137.71536092164877,144.53319787864177,104.56677949997031
1998-07-01,17422.0,137.16876620187412,143.798470969075,103.46220084328048
1998-08-01,17563.0,139.99817855969607,147.481231489772,104.2995427281905
1998-09-01,17557.0,139.85165019238963,147.34158688614917,104.26391115861986
1998-10-01,17512.0,140.8309996129439,148.63850816171913,103.99667438684008
1998-11-01,17465.0,140.69227741836855,148.80587506026586,103.71756042520339
1998-12-01,17449.0,141.26050174175228,149.69161099249257,103.62254290634836
1999-01-01,17427.0,141.85718606988473,150.1153660720435,103.49189381792267
1999-02-01,17395.0,142.66854014812213,151.49838143122804,103.30185878021261
1999-03-01,17368.0,142.9835517435412,151.46618224395618,103.14151671714473
1999-04-01,17344.0,143.30067751074162,152.049900130863,102.99899043886217
1999-05-01,17333.0,144.17903457158747,153.31513878366277,102.93366589464932
1999-06-01,17295.0,144.08210792684312,152.9568152076589,102.70799928736861
1999-07-01,17308.0,144.94029904146703,153.70669467594186,102.78520102143833
1999-08-01,17287.0,145.57146063249513,154.49566085818583,102.66049052794108
1999-09-01,17281.0,144.96079024488614,153.7895171843791,102.62485895837045
1999-10-01,17272.0,146.82792918500303,156.13007094152488,102.57141160401449
1999-11-01,17282.0,147.60675754352752,157.17886906811762,102.63079755329889
1999-12-01,17280.0,148.7931331700542,158.33649011639918,102.618920363442
2000-01-01,17284.0,148.6833588660233,158.45288931744608,102.64267474315577
2000-02-01,17285.0,149.18848329316404,158.87698877333148,102.64861333808422
2000-03-01,17302.0,149.77004316163004,159.97933741993248,102.74956945186769
2000-04-01,17298.0,150.73036503615234,161.06033473379708,102.72581507215392
2000-05-01,17279.0,151.14311641930857,161.1467731937461,102.61298176851356
2000-06-01,17296.0,151.25695643830358,161.40936014877056,102.71393788229706
2000-07-01,17322.0,150.9938233658265,161.58068737516356,102.86834135043648
2000-08-01,17287.0,150.58952866979564,160.5435980439424,102.66049052794108
2000-09-01,17230.0,151.18816454111087,161.32774295750394,102.32199061702
2000-10-01,17217.0,150.6620610247553,160.84923204077415,102.2447888829503
2000-11-01,17202.0,150.69458674446818,160.43925201460155,102.1557099590237
2000-12-01,17181.0,150.1808430016035,159.47689234795783,102.03099946552645
2001-01-01,17104.0,149.43990710654447,158.84031269371167,101.57372765603658
2001-02-01,17028.0,148.46608705834137,157.96662993319097,101.12239444147515
2001-03-01,16938.0,148.07756733637123,157.6377505337833,100.58792089791555
2001-04-01,16802.0,147.5517890772128,156.95898477856602,99.78027198764772
2001-05-01,16661.0,146.78483260638347,155.98353881121287,98.94293010273769
2001-06-01,16515.0,145.98795247341835,154.99466216681589,98.07589524318546
2001-07-01,16382.0,145.10699335499544,154.09980026172602,97.28606211770295
2001-08-01,16232.0,144.95509824393636,153.5038570149459,96.39527287843697
2001-09-01,16117.0,144.19936314640802,152.91411254218607,95.71233446166637
2001-10-01,15972.0,143.75164661456046,152.221227357256,94.85123819704258
2001-11-01,15825.0,142.9137840747571,151.7304910806529,93.97826474256192
2001-12-01,15711.0,142.84385377737445,152.00478683104896,93.30126492071976
2002-01-01,15587.0,143.87182914889948,153.0995591982919,92.56487914959321
2002-02-01,15515.0,143.8711786345052,153.16206350299606,92.13730031474553
2002-03-01,15443.0,144.93916064127708,154.35102279771334,91.70972147989785
2002-04-01,15392.0,145.6391141294979,154.87378607342103,91.40685313854742
2002-05-01,15337.0,146.2584038328308,155.7448860114333,91.08023041748322
2002-06-01,15298.0,147.4665716915651,157.34210345065085,90.84862521527407
2002-07-01,15256.0,147.4155063116159,157.1508023968593,90.59920422827959
2002-08-01,15171.0,147.25613028502286,157.3062883118672,90.0944236593622
2002-09-01,15119.0,147.40347179532213,157.4664233073903,89.78561672308332
2002-10-01,15060.0,147.02292087468163,156.96105103657274,89.43523962230536
2002-11-01,14992.0,147.8269566659836,157.79995178731318,89.03141516717145
2002-12-01,14912.0,146.99836395629842,156.68761622701288,88.55632757289625
2003-01-01,14866.0,148.21238644458103,158.03877677526,88.28315220618802
2003-02-01,14781.0,148.3989214471343,157.86125077484675,87.77837163727062
2003-03-01,14721.0,148.00161978084168,158.0742475377092,87.42205594156422
2003-04-01,14609.0,147.0619517383371,156.93677250499346,86.75693330957895
2003-05-01,14557.0,147.0281249898357,157.04042978166538,86.44812637330008
2003-06-01,14493.0,147.21433473519184,157.7665472828707,86.06805629787992
2003-07-01,14402.0,147.9751113192757,158.38814656656794,85.5276441593919
2003-08-01,14376.0,147.64367423540162,157.7658585302018,85.37324069125245
2003-09-01,14347.0,148.61472959742918,159.1889937323507,85.2010214383277
2003-10-01,14334.0,148.8059808293408,159.3260555134651,85.12381970425797
2003-11-01,14316.0,149.8240358563534,160.80446311729457,85.01692499554605
2003-12-01,14300.0,149.8983571258973,160.67136166402642,84.92190747669102
2004-01-01,14290.0,150.15010619647484,160.5494524416282,84.86252152740661
2004-02-01,14279.0,151.0613142342307,161.73169639782353,84.79719698319379
2004-03-01,14287.0,150.4843079665245,161.69174874302635,84.8447057426213
2004-04-01,14315.0,151.09758041171054,162.2324195881259,85.01098640061761
2004-05-01,14342.0,152.19402242323116,163.40484881878916,85.1713284636855
