Country,ISO3,HDI Rank,Human Development,HPI Rank,Passport Access,GPI Rank,Global Peace,FSI Rank,Fragile States
Estonia,EST,31.0,0.89,11,182,33.0,1.662,25.0,37.7
Czech Republic,CZE,32.0,0.889,6,188,8.0,1.318,29.0,39.9
Greece,GRC,33.0,0.887,8,186,53.0,1.838,56.0,55.8
Poland,POL,34.0,0.876,8,186,25.0,1.552,32.0,42.2
Bahrain,BHR,35.0,0.875,60,87,99.0,2.085,79.0,66.6
Lithuania,LTU,35.0,0.875,9,184,37.0,1.724,27.0,38.6
Saudi Arabia,SAU,35.0,0.875,62,82,119.0,2.288,85.0,67.5
Portugal,PRT,38.0,0.866,6,188,6.0,1.301,16.0,27.5
Latvia,LVA,39.0,0.863,10,183,35.0,1.673,35.0,42.8
Andorra,AND,40.0,0.858,19,169,,,,
Croatia,HRV,40.0,0.858,15,175,15.0,1.44,43.0,49.3
Chile,CHL,42.0,0.855,15,175,55.0,1.84,36.0,43.2
Qatar,QAT,42.0,0.855,54,101,23.0,1.533,33.0,42.3
San Marino,SMR,44.0,0.853,18,170,,,,
Slovakia,SVK,45.0,0.848,9,184,20.0,1.499,24.0,37.1
Hungary,HUN,46.0,0.846,8,186,13.0,1.411,46.0,50.8
Argentina,ARG,47.0,0.842,17,171,69.0,1.911,42.0,47.9
Türkiye,TUR,48.0,0.838,51,111,145.0,2.785,118.0,78.1
Montenegro,MNE,49.0,0.832,43,124,48.0,1.801,61.0,57.9
Kuwait,KWT,50.0,0.831,55,97,39.0,1.739,50.0,52.2
Brunei Darussalam,BRN,51.0,0.829,20,167,,,55.0,55.1
Russia,RUS,52.0,0.822,48,118,160.0,3.275,105.0,72.6
Romania,ROU,53.0,0.821,14,176,31.0,1.64,46.0,50.8
Oman,OMN,54.0,0.816,62,82,64.0,1.889,44.0,49.5
Bahamas,BHS,55.0,0.812,24,155,,,45.0,50.6
Kazakhstan,KAZ,56.0,0.811,67,75,97.0,2.071,62.0,59.5
Trinidad and Tobago,TTO,57.0,0.81,28,150,88.0,2.005,51.0,52.4
Costa Rica,CRI,58.0,0.809,28,150,38.0,1.732,31.0,41.0
Uruguay,URY,58.0,0.809,26,153,46.0,1.795,23.0,35.2
Belarus,BLR,60.0,0.808,64,79,116.0,2.259,89.0,68.7
Panama,PAN,61.0,0.805,32,143,61.0,1.876,41.0,47.5
Malaysia,MYS,62.0,0.803,12,180,18.0,1.471,58.0,56.4
Georgia,GEO,63.0,0.802,50,115,95.0,2.065,100.0,71.8
Mauritius,MUS,63.0,0.802,29,146,28.0,1.57,26.0,37.9
Serbia,SRB,63.0,0.802,34,138,52.0,1.832,86.0,67.8
Thailand,THA,66.0,0.8,64,79,103.0,2.098,94.0,70.0
Albania,ALB,67.0,0.796,49,116,41.0,1.761,59.0,56.7
Bulgaria,BGR,68.0,0.795,14,176,24.0,1.541,48.0,51.6
Grenada,GRD,68.0,0.795,30,145,,,54.0,54.3
Barbados,BRB,70.0,0.79,21,162,,,39.0,45.9
Antigua and Barbuda,ATG,71.0,0.788,28,150,,,52.0,54.2
Seychelles,SYC,72.0,0.785,26,153,,,52.0,54.2
Sri Lanka,LKA,73.0,0.782,99,41,90.0,2.02,123.0,79.3
Bosnia and Herzegovina,BIH,74.0,0.78,48,118,58.0,1.85,106.0,73.0
St. Kitts and Nevis,KNA,75.0,0.777,23,156,,,,
Iran,IRN,76.0,0.774,97,44,141.0,2.687,140.0,84.1
Ukraine,UKR,77.0,0.773,31,144,153.0,2.971,88.0,68.6
North Macedonia,MKD,78.0,0.77,42,125,36.0,1.704,69.0,62.6
China,CHN,79.0,0.768,63,81,89.0,2.01,82.0,66.9
Dominican Republic,DOM,80.0,0.767,72,70,81.0,1.99,70.0,62.8
