Date,Manufacturing Employees,Industrial Output,Employees
1959-01-01,14998.0,42.280264462173626,77.78238771911627
1959-02-01,15115.0,43.10810420656536,78.38917124779587
1959-03-01,15259.0,43.72922460999528,79.1359817446323
1959-04-01,15385.0,44.660616500976815,79.78944092936418
1959-05-01,15487.0,45.33351297770164,80.31843169795664
1959-06-01,15554.0,45.38528905099654,80.66590602634581
1959-07-01,15623.0,44.298376464021395,81.0237527227466
1959-08-01,15202.0,42.79764024290485,78.84036925630122
1959-09-01,15254.0,42.745864169609945,79.11005082460326
1959-10-01,15158.0,42.435400205949435,78.61217716004563
1959-11-01,15300.0,42.69428057242394,79.34861528887045
1959-12-01,15573.0,45.33351297770164,80.76444352245618
1960-01-01,15687.0,46.52378523515768,81.35566849911835
1960-02-01,15765.0,46.109769124907366,81.76019085157141
1960-03-01,15707.0,45.69575301465705,81.45939217923453
1960-04-01,15654.0,45.33351297770164,81.18452442692666
1960-05-01,15575.0,45.28173690440674,80.7748158904678
1960-06-01,15466.0,44.71239257427172,80.20952183383466
1960-07-01,15413.0,44.5572568304959,79.93465408152682
1960-08-01,15360.0,44.505480757201006,79.65978632921896
1960-09-01,15330.0,44.039688573655795,79.5042008090447
1960-10-01,15231.0,43.98791250036088,78.99076859246966
1960-11-01,15112.0,43.36698457303987,78.37361269577845
1960-12-01,14947.0,42.53895235253923,77.51789233482003
1961-01-01,14863.0,42.59072842583414,77.08225287833213
1961-02-01,14801.0,42.53895235253923,76.760709469972
1961-03-01,14802.0,42.79764024290485,76.7658956539778
1961-04-01,14825.0,43.67744853670038,76.88517788611139
1961-05-01,14932.0,44.3501525373163,77.44009957473291
1961-06-01,14981.0,44.971272940746225,77.69422259101752
1961-07-01,15029.0,45.48864872147744,77.94315942329634
1961-08-01,15093.0,45.90266483172776,78.27507519966808
1961-09-01,15080.0,45.85108123454175,78.20765480759258
1961-10-01,15143.0,46.73069705222839,78.53438439995851
1961-11-01,15259.0,47.45517712613922,79.1359817446323
1961-12-01,15309.0,47.86919323638953,79.39529094492272
1962-01-01,15322.0,47.45517712613922,79.46271133699824
1962-02-01,15411.0,48.23143327334494,79.9242817135152
1962-03-01,15451.0,48.49031363981946,80.13172907374754
1962-04-01,15524.0,48.59367331030035,80.51032050617157
1962-05-01,15513.0,48.54189723700546,80.45327248210766
1962-06-01,15518.0,48.43853756652455,80.47920340213672
1962-07-01,15522.0,48.90413727396086,80.49994813815994
1962-08-01,15517.0,48.955913347255766,80.4740172181309
1962-09-01,15568.0,49.266569787025176,80.73851260242714
1962-10-01,15569.0,49.318345860320086,80.74369878643294
1962-11-01,15530.0,49.52525767739079,80.54143761020642
1962-12-01,15520.0,49.52525767739079,80.48957577014832
1963-01-01,15545.0,49.8874977143462,80.61923037029354
1963-02-01,15542.0,50.45684204448123,80.60367181827611
1963-03-01,15564.0,50.76730600814174,80.7177678664039
1963-04-01,15602.0,51.233098191686956,80.91484285862462
1963-05-01,15641.0,51.854026119007976,81.11710403485117
1963-06-01,15624.0,52.00935433889268,81.02893890675242
1963-07-01,15646.0,51.802250045713066,81.14303495488019
1963-08-01,15644.0,51.905802192302865,81.13266258686859
1963-09-01,15674.0,52.42317797303409,81.28824810704283
1963-10-01,15714.0,52.785610486098406,81.49569546727517
1963-11-01,15675.0,53.04429837646401,81.29343429104865
1963-12-01,15712.0,52.940746229874215,81.48532309926357
1964-01-01,15715.0,53.406538413419426,81.50088165128099
1964-02-01,15742.0,53.768778450374846,81.64090861943781
1964-03-01,15770.0,53.768778450374846,81.78612177160046
1964-04-01,15785.0,54.64858674417036,81.86391453168758
1964-05-01,15812.0,54.95905070783088,82.00394149984442
1964-06-01,15839.0,55.114378927715585,82.14396846800125
1964-07-01,15887.0,55.476618964671005,82.39290530028005
1964-08-01,15948.0,55.83885900162642,82.70926252463437
1964-09-01,16073.0,56.04577081869712,83.35753552536043
1964-10-01,15821.0,55.26951467149139,82.05061715589669
1964-11-01,16096.0,56.97735518578756,83.47681775749403
1964-12-01,16176.0,57.650059186403475,83.89171247795872
1965-01-01,16245.0,58.270987113724495,84.24955917435952
1965-02-01,16291.0,58.63341962678883,84.4881236386267
1965-03-01,16353.0,59.40967577399454,84.80966704698683
1965-04-01,16418.0,59.66836366436016,85.14676900736438
1965-05-01,16477.0,60.13415584790537,85.45275386370709
1965-06-01,16554.0,60.59994803145059,85.85209003215434
1965-07-01,16669.0,61.16909988547672,86.44850119282232
1965-08-01,16732.0,61.427787775842326,86.77523078518826
1965-09-01,16802.0,61.58311599572701,87.13826366559485
1965-10-01,16864.0,62.20423639915695,87.45980707395499
1965-11-01,16962.0,62.46292428952256,87.96805310652422
1965-12-01,17051.0,63.23918043672828,88.42962348304117
1966-01-01,17143.0,63.8601083640493,88.90675241157557
1966-02-01,17288.0,64.27412447429963,89.65874909241779
1966-03-01,17400.0,65.15393276809516,90.23960170106835
1966-04-01,17517.0,65.25748491468497,90.84638522974795
1966-05-01,17625.0,65.87841284200596,91.40649310237528
1966-06-01,17733.0,66.1888768056665,91.96660097500259
1966-07-01,17760.0,66.55111684262192,92.10662794315942
1966-08-01,17882.0,66.60289291591681,92.73934239186806
1966-09-01,17886.0,67.22401331934674,92.7600871278913
1966-10-01,17956.0,67.68961302678305,93.1231200082979
1966-11-01,17981.0,67.22382084323783,93.25277460844312
1966-12-01,17998.0,67.37914906312254,93.34093973654186
1967-01-01,18033.0,67.69692711892135,93.52245617674515
1967-02-01,17978.0,66.92913992050737,93.23721605642568
1967-03-01,17940.0,66.55188674705752,93.04014106420496
1967-04-01,17878.0,67.17955133819015,92.71859765584483
1967-05-01,17832.0,66.59346158658056,92.48003319157763
1967-06-01,17812.0,66.58518511389774,92.37630951146146
1967-07-01,17784.0,66.43351394008218,92.23109635929883
1967-08-01,17905.0,67.7063584482576,92.85862462400166
1967-09-01,17794.0,67.59645459007399,92.28295819935691
1967-10-01,17800.0,68.14693626153652,92.31407530339176
1967-11-01,17985.0,69.12163527702121,93.27351934446634
1967-12-01,18025.0,69.86594039014906,93.48096670469869
1968-01-01,18040.0,69.7908747076769,93.55875946478581
1968-02-01,18054.0,70.04090117314186,93.63136604086712
1968-03-01,18067.0,70.25955403285566,93.69878643294264
1968-04-01,18131.0,70.36118141835644,94.03070220931438
1968-05-01,18190.0,71.15052594096757,94.33668706565709
1968-06-01,18228.0,71.41190849685782,94.53376205787781
1968-07-01,18265.0,71.30238959089203,94.72565086609272
1968-08-01,18254.0,71.50140988749772,94.66860284202883
1968-09-01,18252.0,71.7722237727242,94.65823047401722
1968-10-01,18293.0,71.91465609331243,94.87086401825536
1968-11-01,18346.0,72.84489312764053,95.14573177056323
1968-12-01,18410.0,73.0749020777796,95.47764754693496
1969-01-01,18432.0,73.51701969992973,95.59174359506275
1969-02-01,18502.0,73.98743131008862,95.95477647546934
1969-03-01,18558.0,74.56755430232221,96.24520277979462
1969-04-01,18554.0,74.29327584713548,96.22445804377139
1969-05-01,18588.0,74.01245320424601,96.40078829996888
1969-06-01,18640.0,74.7355859453945,96.67046986827093
1969-07-01,18642.0,75.12996949253673,96.68084223628254
1969-08-01,18767.0,75.3026205622227,97.32911523700861
1969-09-01,18620.0,75.28568266463924,96.56674618815475
1969-10-01,18613.0,75.3078174171631,96.5304429001141
1969-11-01,18467.0,74.59796552752888,95.77326003526605
1969-12-01,18485.0,74.39779037426979,95.8666113473706
1970-01-01,18424.0,73.02004638674224,95.55025412301629
1970-02-01,18361.0,72.97192735951649,95.22352453065035
1970-03-01,18360.0,72.87722911393621,95.21833834664454
1970-04-01,18207.0,72.68975738386472,94.42485219375584
1970-05-01,18029.0,72.60506789594741,93.50171144072192
1970-06-01,17930.0,72.37024704308578,92.98827922414688
1970-07-01,17877.0,72.54790249160322,92.71341147183902
1970-08-01,17779.0,72.41855854642041,92.20516543926979
1970-09-01,17692.0,71.919467996035,91.75396743076443
1970-10-01,17173.0,70.4807090819852,89.06233793174981
1970-11-01,17024.0,70.05379707243837,88.28959651488435
1970-12-01,17309.0,71.6627048667584,89.76765895653978
1971-01-01,17280.0,72.21395644265655,89.61725962037133
1971-02-01,17216.0,72.0763360247909,89.28534384399958
1971-03-01,17154.0,71.99819072457632,88.96380043563946
1971-04-01,17149.0,72.40258302938146,88.93786951561042
1971-05-01,17225.0,72.77001992127727,89.33201950005186
1971-06-01,17139.0,73.07509455388849,88.88600767555232
1971-07-01,17126.0,72.86298588187742,88.81858728347682
1971-08-01,17115.0,72.44011587061755,88.76153925941293
1971-09-01,17154.0,73.6174922287771,88.96380043563946
1971-10-01,17126.0,74.16855132856635,88.81858728347682
1971-11-01,17166.0,74.48324976662272,89.02603464370917
1971-12-01,17202.0,75.34304054509235,89.21273726791826
1972-01-01,17283.0,77.14885139882011,89.63281817238877
1972-02-01,17361.0,77.92395268937243,90.03734052484182
1972-03-01,17447.0,78.47597416970616,90.48335234934135
1972-04-01,17508.0,79.25377012578313,90.79970957369568
1972-05-01,17602.0,79.26012183737693,91.28721087024168
1972-06-01,17641.0,79.46645622612093,91.48947204646821
1972-07-01,17556.0,79.39158301975768,91.04864640597448
1972-08-01,17741.0,80.48831188828687,92.00809044704906
1972-09-01,17774.0,81.10462038899422,92.17923451924074
1972-10-01,17893.0,82.14995813644632,92.79639041593197
1972-11-01,18005.0,83.11849791644612,93.37724302458251
1972-12-01,18158.0,84.05239199684338,94.17072917747122
1973-01-01,18276.0,84.66523592759049,94.78269889015662
1973-02-01,18410.0,85.89727550067848,95.47764754693496
1973-03-01,18493.0,85.92884158253857,95.90810081941707
1973-04-01,18530.0,85.80180735066259,96.09998962763198
1973-05-01,18564.0,86.36903444359966,96.27631988382947
1973-06-01,18606.0,86.47354897073399,96.49413961207344
1973-07-01,18598.0,86.79151950264173,96.45265014002696
1973-08-01,18629.0,86.6729542195575,96.61342184420704
1973-09-01,18609.0,87.36721554437054,96.50969816409086
1973-10-01,18702.0,88.06590381968837,96.99201327663106
1973-11-01,18773.0,88.4631745084641,97.36023234104346
1973-12-01,18820.0,88.21584270852378,97.60398298931646
1974-01-01,18788.0,87.63379495520115,97.43802510113059
1974-02-01,18727.0,87.38068887199374,97.12166787677626
1974-03-01,18700.0,87.36625316382603,96.98164090861944
1974-04-01,18702.0,87.10121356186663,96.99201327663106
1974-05-01,18688.0,87.80471373990703,96.91940670054974
1974-06-01,18690.0,87.64476609340863,96.92977906856134
1974-07-01,18656.0,87.80683097710495,96.75344881236386
1974-08-01,18570.0,86.88583279600418,96.30743698786432
1974-09-01,18492.0,86.89815126697398,95.90291463541126
1974-10-01,18364.0,86.62637500120297,95.23908308266778
1974-11-01,18077.0,83.7698370689738,93.75064827300072
1974-12-01,17693.0,80.75758596464213,91.75915361477026
1975-01-01,17344.0,79.64006967635142,89.94917539674307
1975-02-01,17004.0,77.82136292332713,88.18587283476818
1975-03-01,16853.0,76.97485299637182,87.40275904989109
1975-04-01,16759.0,77.11747779306893,86.91525775334509
1975-05-01,16746.0,76.89824750502844,86.84783736126957
1975-06-01,16690.0,77.38482710833517,86.5574110569443
1975-07-01,16678.0,78.18129324697571,86.49517684887459
1975-08-01,16824.0,78.954469776439,87.25235971372264
1975-09-01,16904.0,79.97882762802067,87.66725443418733
1975-10-01,16984.0,80.32085767354127,88.08214915465201
1975-11-01,17025.0,80.43230134059608,88.29478269889016
1975-12-01,17140.0,81.51882897535341,88.89119385955814
1976-01-01,17287.0,82.60670394287308,89.65356290841198
1976-02-01,17384.0,83.43242645006687,90.15662275697541
1976-03-01,17470.0,83.61085180301995,90.60263458147494
1976-04-01,17541.0,84.02775505490379,90.97085364588735
1976-05-01,17513.0,84.38537566524553,90.82564049372472
1976-06-01,17521.0,84.47622438864776,90.86712996577118
1976-07-01,17524.0,84.94509618993543,90.88268851778861
1976-08-01,17596.0,85.53118594154499,91.25609376620683
1976-09-01,17665.0,85.8150882021769,91.61394046260762
1976-10-01,17548.0,85.78794907082158,91.00715693392802
1976-11-01,17682.0,87.10371575128238,91.70210559070637
1976-12-01,17719.0,88.04280668662001,91.89399439892128
1977-01-01,17803.0,87.44054894186259,92.32963385540918
1977-02-01,17843.0,88.81983273826134,92.53708121564152
1977-03-01,17941.0,89.94678035588832,93.04532724821077
1977-04-01,18024.0,90.82562626913933,93.47578052069288
1977-05-01,18107.0,91.5262393055462,93.90623379317499
1977-06-01,18192.0,92.22588996140854,94.34705943366872
