Mauritania,MRT,"GDP per capita, PPP (current international $)",5738.00988,5605.920294,5830.817088
Mauritius,MUS,"GDP per capita, PPP (current international $)",24681.05184,21331.81412,23035.283
Malawi,MWI,"GDP per capita, PPP (current international $)",1581.75721,1571.180296,1638.152251
Malaysia,MYS,"GDP per capita, PPP (current international $)",28842.38839,27245.62042,28929.4742
North America,NAC,"GDP per capita, PPP (current international $)",63475.50692,61337.15892,67513.58966
Namibia,NAM,"GDP per capita, PPP (current international $)",10432.02821,9543.712734,10038.73827
New Caledonia,NCL,"GDP per capita, PPP (current international $)",,,
Niger,NER,"GDP per capita, PPP (current international $)",1268.827795,1281.061929,1303.567363
Nigeria,NGA,"GDP per capita, PPP (current international $)",5290.614333,5131.526238,5407.979457
Nicaragua,NIC,"GDP per capita, PPP (current international $)",5574.739132,5465.507439,6194.70035
Netherlands,NLD,"GDP per capita, PPP (current international $)",59004.32497,59266.90858,63768.20005
Norway,NOR,"GDP per capita, PPP (current international $)",66799.16472,62644.84574,79201.23025
Nepal,NPL,"GDP per capita, PPP (current international $)",4087.611166,3967.820179,4209.759393
Nauru,NRU,"GDP per capita, PPP (current international $)",12507.09241,12613.06808,13125.34837
New Zealand,NZL,"GDP per capita, PPP (current international $)",45554.8094,44657.77372,46419.5087
OECD members,OED,"GDP per capita, PPP (current international $)",46051.86565,44919.23969,48599.23872
Oman,OMN,"GDP per capita, PPP (current international $)",35241.22234,34910.85327,37676.0574
Other small states,OSS,"GDP per capita, PPP (current international $)",23236.26745,22075.02386,23619.37098
Pakistan,PAK,"GDP per capita, PPP (current international $)",5375.218711,5278.418602,5748.005952
Panama,PAN,"GDP per capita, PPP (current international $)",32874.89103,26907.35892,31900.94175
Peru,PER,"GDP per capita, PPP (current international $)",13272.65083,11789.02928,13748.53362
Philippines,PHL,"GDP per capita, PPP (current international $)",9100.385478,8198.967501,8892.789346
Palau,PLW,"GDP per capita, PPP (current international $)",18348.51234,16825.88544,15144.56896
Papua New Guinea,PNG,"GDP per capita, PPP (current international $)",4114.483535,3946.507514,4040.039446
Poland,POL,"GDP per capita, PPP (current international $)",33728.39436,34449.32341,37836.76295
Pre-demographic dividend,PRE,"GDP per capita, PPP (current international $)",3653.504206,3512.444546,3669.896682
Puerto Rico,PRI,"GDP per capita, PPP (current international $)",36261.06526,34160.86163,35850.32193
"Korea, Dem. People's Rep.",PRK,"GDP per capita, PPP (current international $)",,,
Portugal,PRT,"GDP per capita, PPP (current international $)",36172.07254,34177.08571,35798.75385
Paraguay,PRY,"GDP per capita, PPP (current international $)",14184.11579,14046.65222,15037.18964
West Bank and Gaza,PSE,"GDP per capita, PPP (current international $)",6509.035299,5698.412057,6199.451018
Pacific island small states,PSS,"GDP per capita, PPP (current international $)",7512.776566,6585.424447,6486.196007
Post-demographic dividend,PST,"GDP per capita, PPP (current international $)",50832.29617,49490.26093,53528.6689
French Polynesia,PYF,"GDP per capita, PPP (current international $)",,,
Qatar,QAT,"GDP per capita, PPP (current international $)",94674.31214,93894.25275,102018.1159
Romania,ROU,"GDP per capita, PPP (current international $)",32069.70986,32680.99374,35869.63348
Russian Federation,RUS,"GDP per capita, PPP (current international $)",30067.74023,29936.92969,32862.62109
Rwanda,RWA,"GDP per capita, PPP (current international $)",2283.888816,2180.877349,2459.707347
South Asia,SAS,"GDP per capita, PPP (current international $)",6553.236743,6219.147687,6920.703409
Saudi Arabia,SAU,"GDP per capita, PPP (current international $)",46852.29817,45240.67609,48710.94768
Sudan,SDN,"GDP per capita, PPP (current international $)",4307.567383,4087.006104,4065.976074
Senegal,SEN,"GDP per capita, PPP (current international $)",3575.266048,3569.209139,3840.032959
Singapore,SGP,"GDP per capita, PPP (current international $)",102431.3157,99681.29415,116486.4732
Solomon Islands,SLB,"GDP per capita, PPP (current international $)",2727.306675,2604.354881,2648.732207
Sierra Leone,SLE,"GDP per capita, PPP (current international $)",1725.562684,1673.065019,1773.899246
El Salvador,SLV,"GDP per capita, PPP (current international $)",9402.17161,8720.011997,9981.88602
San Marino,SMR,"GDP per capita, PPP (current international $)",62611.49478,59451.03424,
Somalia,SOM,"GDP per capita, PPP (current international $)",1186.326829,1189.162288,1248.812487
Serbia,SRB,"GDP per capita, PPP (current international $)",18819.89122,19173.19609,21503.35809
Sub-Saharan Africa (excluding high income),SSA,"GDP per capita, PPP (current international $)",3972.363208,3842.783834,4067.575768
South Sudan,SSD,"GDP per capita, PPP (current international $)",,,
Sub-Saharan Africa,SSF,"GDP per capita, PPP (current international $)",3974.682146,3844.879529,4069.889126
Small states,SST,"GDP per capita, PPP (current international $)",21191.48823,20048.05546,21476.76819
Sao Tome and Principe,STP,"GDP per capita, PPP (current international $)",4183.119385,4280.949702,4451.642512
Suriname,SUR,"GDP per capita, PPP (current international $)",19227.8401,16168.69082,16222.6757
Slovak Republic,SVK,"GDP per capita, PPP (current international $)",31966.55484,31356.45828,33010.29075
Slovenia,SVN,"GDP per capita, PPP (current international $)",40670.87787,39725.25919,43602.4892
Sweden,SWE,"GDP per capita, PPP (current international $)",54598.78035,55064.88501,59323.96461
Eswatini,SWZ,"GDP per capita, PPP (current international $)",8860.058796,8744.438693,9730.068125
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (current international $)",,,
Seychelles,SYC,"GDP per capita, PPP (current international $)",30609.05759,28351.85683,31596.15966
Syrian Arab Republic,SYR,"GDP per capita, PPP (current international $)",,,
Turks and Caicos Islands,TCA,"GDP per capita, PPP (current international $)",27028.02442,19486.65314,20337.69338
Chad,TCD,"GDP per capita, PPP (current international $)",1627.920102,1570.742918,1566.041161
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (current international $)",15183.74794,15418.67646,17082.36046
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (current international $)",24103.18457,24113.88553,26574.4484
Togo,TGO,"GDP per capita, PPP (current international $)",2168.331916,2180.16961,2334.299325
Thailand,THA,"GDP per capita, PPP (current international $)",18763.50902,17771.30717,18760.75522
Tajikistan,TJK,"GDP per capita, PPP (current international $)",3726.172928,3851.942913,4288.16789
Turkmenistan,TKM,"GDP per capita, PPP (current international $)",15625.36066,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP per capita, PPP (current international $)",16548.48111,15667.25999,17193.13247
Timor-Leste,TLS,"GDP per capita, PPP (current international $)",3895.548594,5122.48822,5528.580523
Middle East & North Africa (IDA & IBRD countries),TMN,"GDP per capita, PPP (current international $)",10983.73776,10720.62492,11507.80471
Tonga,TON,"GDP per capita, PPP (current international $)",6612.070539,6705.102442,6748.512118
South Asia (IDA & IBRD),TSA,"GDP per capita, PPP (current international $)",6553.236743,6219.147687,6920.703409
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GDP per capita, PPP (current international $)",3974.682146,3844.879529,4069.889126
Trinidad and Tobago,TTO,"GDP per capita, PPP (current international $)",26374.6734,24672.3557,25308.49072
Tunisia,TUN,"GDP per capita, PPP (current international $)",11552.56755,10571.90084,11282.48463
Turkiye,TUR,"GDP per capita, PPP (current international $)",26813.06155,27308.57698,30737.0175
Tuvalu,TUV,"GDP per capita, PPP (current international $)",5019.833864,5104.660032,5409.511692
Tanzania,TZA,"GDP per capita, PPP (current international $)",2686.455078,2690.924561,2836.242432
Uganda,UGA,"GDP per capita, PPP (current international $)",2344.975879,2363.192032,2467.899337
Ukraine,UKR,"GDP per capita, PPP (current international $)",13345.38281,13087.30957,14219.79004
Upper middle income,UMC,"GDP per capita, PPP (current international $)",17993.6961,17981.10506,19964.31422
Uruguay,URY,"GDP per capita, PPP (current international $)",24238.13305,23024.09891,25048.72397
United States,USA,"GDP per capita, PPP (current international $)",65094.79943,63027.67953,69287.53659
Uzbekistan,UZB,"GDP per capita, PPP (current international $)",7658.27241,7746.430969,8497.448308
