date,value,Series
1956-11-01,3.8,White
1956-12-01,3.8,White
1957-01-01,3.8,White
1957-02-01,3.6,White
1957-03-01,3.4,White
1957-04-01,3.5,White
1957-05-01,3.6,White
1957-06-01,3.7,White
1957-07-01,3.7,White
1957-08-01,3.7,White
1957-09-01,3.9,White
1957-10-01,4.0,White
1957-11-01,4.6,White
1957-12-01,4.7,White
1958-01-01,5.2,White
1958-02-01,5.7,White
1958-03-01,5.9,White
1958-04-01,6.7,White
1958-05-01,6.7,White
1958-06-01,6.6,White
1958-07-01,6.8,White
1958-08-01,6.7,White
1958-09-01,6.4,White
1958-10-01,6.0,White
1958-11-01,5.5,White
1958-12-01,5.5,White
1959-01-01,5.3,White
1959-02-01,5.2,White
1959-03-01,4.9,White
1959-04-01,4.7,White
1959-05-01,4.5,White
1959-06-01,4.4,White
1959-07-01,4.5,White
1959-08-01,4.6,White
1959-09-01,4.9,White
1959-10-01,5.0,White
1959-11-01,5.3,White
1959-12-01,4.7,White
1960-01-01,4.6,White
1960-02-01,4.3,White
1960-03-01,4.8,White
1960-04-01,4.6,White
1960-05-01,4.6,White
1960-06-01,4.8,White
1960-07-01,4.9,White
1960-08-01,5.1,White
1960-09-01,5.1,White
1960-10-01,5.5,White
1960-11-01,5.5,White
1960-12-01,5.9,White
1961-01-01,5.9,White
1961-02-01,6.2,White
1961-03-01,6.2,White
1961-04-01,6.2,White
1961-05-01,6.3,White
1961-06-01,6.2,White
1961-07-01,6.3,White
1961-08-01,5.9,White
1961-09-01,5.9,White
1961-10-01,5.7,White
1961-11-01,5.4,White
1961-12-01,5.3,White
1962-01-01,5.1,White
1962-02-01,4.8,White
1962-03-01,4.8,White
1962-04-01,4.7,White
1962-05-01,4.8,White
1962-06-01,4.8,White
1962-07-01,4.8,White
1962-08-01,5.0,White
